_id,median_max_forward,median_max_reverse,plc,time
6334fdfe233402ab79d16d8c,-1,-1,17,2022-09-29T10:07:58.000Z
6334fe00233402ab79d16d90,-1,-1,8,2022-09-29T10:08:00.000Z
6334fe01233402ab79d16d92,-1,-1,14,2022-09-29T10:08:00.000Z
6334fe02233402ab79d16d95,-1,-1,22,2022-09-29T10:08:02.000Z
6334fe02233402ab79d16d97,-1,-1,24,2022-09-29T10:08:02.000Z
6334fe02233402ab79d16d99,-1,-1,25,2022-09-29T10:08:02.000Z
6334fe02233402ab79d16d9b,-1,-1,28,2022-09-29T10:08:02.000Z
6334fe05233402ab79d16da0,-1,-1,37,2022-09-29T10:08:05.000Z
6334fe05233402ab79d16da2,-1,-1,38,2022-09-29T10:08:05.000Z
6334fe07233402ab79d16da6,118.5,103.5,44,2022-09-29T10:08:06.000Z
6334fe07233402ab79d16da8,-1,-1,45,2022-09-29T10:08:07.000Z
6334fe07233402ab79d16daa,-1,-1,46,2022-09-29T10:08:07.000Z
6334fe09233402ab79d16dae,-1,-1,50,2022-09-29T10:08:09.000Z
6334fe09233402ab79d16db0,-1,-1,51,2022-09-29T10:08:09.000Z
6334fe0b233402ab79d16db4,-1,-1,56,2022-09-29T10:08:10.000Z
6334fe0b233402ab79d16db6,-1,-1,57,2022-09-29T10:08:11.000Z
6334fe0c233402ab79d16db8,220.8,190,59,2022-09-29T10:08:11.000Z
6334fe0d233402ab79d16dba,222.4,189.2,60,2022-09-29T10:08:12.000Z
63350c0c233402ab79d16dbc,-1,-1,2,2022-09-29T11:07:56.000Z
63350c0c233402ab79d16dbe,-1,-1,4,2022-09-29T11:07:56.000Z
63350c0d233402ab79d16dc0,-1,-1,5,2022-09-29T11:07:57.000Z
63350c0d233402ab79d16dc2,-1,-1,7,2022-09-29T11:07:57.000Z
63350c0e233402ab79d16dc5,-1,-1,17,2022-09-29T11:07:58.000Z
63350c10233402ab79d16dc9,-1,-1,8,2022-09-29T11:07:59.000Z
63350c11233402ab79d16dcb,-1,-1,14,2022-09-29T11:08:00.000Z
63350c11233402ab79d16dce,-1,-1,22,2022-09-29T11:08:01.000Z
63350c12233402ab79d16dd0,-1,-1,24,2022-09-29T11:08:02.000Z
63350c12233402ab79d16dd2,-1,-1,25,2022-09-29T11:08:02.000Z
63350c12233402ab79d16dd4,-1,-1,28,2022-09-29T11:08:02.000Z
63350c14233402ab79d16dd9,-1,-1,37,2022-09-29T11:08:04.000Z
63350c14233402ab79d16ddb,-1,-1,38,2022-09-29T11:08:04.000Z
63350c16233402ab79d16ddf,118.5,112.2,44,2022-09-29T11:08:06.000Z
63350c16233402ab79d16de1,-1,-1,45,2022-09-29T11:08:06.000Z
63350c17233402ab79d16de3,-1,-1,46,2022-09-29T11:08:07.000Z
63350c18233402ab79d16de7,-1,-1,50,2022-09-29T11:08:08.000Z
63350c18233402ab79d16de9,-1,-1,51,2022-09-29T11:08:08.000Z
63350c1a233402ab79d16ded,-1,-1,56,2022-09-29T11:08:10.000Z
63350c1a233402ab79d16def,-1,-1,57,2022-09-29T11:08:10.000Z
63350c1b233402ab79d16df1,220.8,193.6,59,2022-09-29T11:08:10.000Z
63350c1c233402ab79d16df3,222.4,190,60,2022-09-29T11:08:11.000Z
63351a1c233402ab79d16df5,-1,-1,2,2022-09-29T12:07:56.000Z
63351a1c233402ab79d16df7,-1,-1,4,2022-09-29T12:07:56.000Z
63351a1d233402ab79d16df9,-1,-1,5,2022-09-29T12:07:57.000Z
63351a1d233402ab79d16dfb,-1,-1,7,2022-09-29T12:07:57.000Z
63351a1e233402ab79d16dfe,-1,-1,17,2022-09-29T12:07:58.000Z
63351a20233402ab79d16e02,-1,-1,8,2022-09-29T12:07:59.000Z
63351a21233402ab79d16e04,-1,-1,14,2022-09-29T12:08:00.000Z
63351a22233402ab79d16e07,-1,-1,22,2022-09-29T12:08:02.000Z
63351a22233402ab79d16e09,-1,-1,24,2022-09-29T12:08:02.000Z
63351a22233402ab79d16e0b,-1,-1,25,2022-09-29T12:08:02.000Z
63351a22233402ab79d16e0d,-1,-1,28,2022-09-29T12:08:02.000Z
63351a24233402ab79d16e12,-1,-1,37,2022-09-29T12:08:04.000Z
63351a24233402ab79d16e14,-1,-1,38,2022-09-29T12:08:04.000Z
63351a27233402ab79d16e18,118.5,112.2,44,2022-09-29T12:08:06.000Z
63351a27233402ab79d16e1a,-1,-1,45,2022-09-29T12:08:07.000Z
63351a27233402ab79d16e1c,-1,-1,46,2022-09-29T12:08:07.000Z
63351a28233402ab79d16e20,-1,-1,50,2022-09-29T12:08:08.000Z
63351a28233402ab79d16e22,-1,-1,51,2022-09-29T12:08:08.000Z
63351a2a233402ab79d16e26,-1,-1,56,2022-09-29T12:08:10.000Z
63351a2a233402ab79d16e28,-1,-1,57,2022-09-29T12:08:10.000Z
63351a2b233402ab79d16e2a,220.8,193.6,59,2022-09-29T12:08:10.000Z
63351a2c233402ab79d16e2c,222.4,190,60,2022-09-29T12:08:11.000Z
6335282c233402ab79d16e2e,-1,-1,2,2022-09-29T13:07:56.000Z
6335282c233402ab79d16e30,-1,-1,4,2022-09-29T13:07:56.000Z
6335282d233402ab79d16e32,-1,-1,5,2022-09-29T13:07:57.000Z
6335282d233402ab79d16e34,-1,-1,7,2022-09-29T13:07:57.000Z
6335282e233402ab79d16e37,-1,-1,17,2022-09-29T13:07:58.000Z
63352830233402ab79d16e3b,-1,-1,8,2022-09-29T13:07:59.000Z
63352831233402ab79d16e3d,-1,-1,14,2022-09-29T13:08:00.000Z
63352832233402ab79d16e40,-1,-1,22,2022-09-29T13:08:01.000Z
63352832233402ab79d16e42,-1,-1,24,2022-09-29T13:08:02.000Z
63352832233402ab79d16e44,-1,-1,25,2022-09-29T13:08:02.000Z
63352832233402ab79d16e46,-1,-1,28,2022-09-29T13:08:02.000Z
63352834233402ab79d16e4b,-1,-1,37,2022-09-29T13:08:04.000Z
63352834233402ab79d16e4d,-1,-1,38,2022-09-29T13:08:04.000Z
63352836233402ab79d16e51,118.5,114.6,44,2022-09-29T13:08:06.000Z
63352836233402ab79d16e53,-1,-1,45,2022-09-29T13:08:06.000Z
63352837233402ab79d16e55,-1,-1,46,2022-09-29T13:08:07.000Z
63352838233402ab79d16e59,-1,-1,50,2022-09-29T13:08:08.000Z
63352838233402ab79d16e5b,-1,-1,51,2022-09-29T13:08:08.000Z
6335283a233402ab79d16e5f,-1,-1,56,2022-09-29T13:08:10.000Z
6335283a233402ab79d16e61,-1,-1,57,2022-09-29T13:08:10.000Z
6335283b233402ab79d16e63,220.8,193.6,59,2022-09-29T13:08:10.000Z
6335283c233402ab79d16e65,222.4,190,60,2022-09-29T13:08:11.000Z
